Version, Version Name, Name, LOCs, Churn, Age, Weighted Age, Number of Authors, Revisions, LOC Touched, LOC Added, Number of Fix, Buggy
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,64,64,0,0,2,2,64,64,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,78,78,0,0,2,3,78,78,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,21,21,0,0,1,1,21,21,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,357,357,0,0,2,3,357,357,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,49,49,0,0,1,1,49,49,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,50,50,0,0,2,2,50,50,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,82,82,0,0,2,2,82,82,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,26,26,0,0,2,2,26,26,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,67,67,0,0,2,2,67,67,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,583,583,0,0,2,3,583,583,0,true,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,55,55,0,0,2,2,55,55,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,32,32,0,0,1,1,32,32,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,56,56,0,0,2,2,56,56,0,false,
